timestamp,T_amb,RH,v,G,T_sky,Q_net
2026-04-20 09:40:00,17.125,66.0,1.585,525.75,-42.55,12.314356241666667
2026-04-20 09:45:00,17.0,68.0,1.665,539.0,-42.7,9.515419491666664
2026-04-20 09:50:00,16.6,69.0,1.81,557.0,-42.849999999999994,10.423586816666665
2026-04-20 09:55:00,16.8,68.0,1.22,572.0,-42.849999999999994,2.5781133499999997
2026-04-20 10:00:00,17.05,68.5,0.91,584.0,-42.8,17.655541366666665
2026-04-20 10:05:00,17.07,69.2,1.4650000000000003,598.1,-42.44,25.429938266666667
2026-04-20 10:10:00,17.27,68.2,1.7430000000000003,611.2,-42.41,15.522760340000001
2026-04-20 10:15:00,17.42,67.4,1.62,624.0,-42.56,14.863352523333335
2026-04-20 10:20:00,17.66,66.8,1.443,635.9,-42.49,21.342458060000002
2026-04-20 10:25:00,17.5,67.4,1.423,644.7,-42.56,10.116431465000003
2026-04-20 10:30:00,17.439999999999998,67.8,1.463,661.4,-42.489999999999995,10.860048500000003
2026-04-20 10:35:00,17.64,67.5,1.7320000000000002,679.8,-42.269999999999996,11.344355036666668
2026-04-20 10:40:00,17.71,67.6,1.941,691.1,-41.989999999999995,0.8301036816666688
2026-04-20 10:45:00,17.67,68.3,2.06,702.0,-41.91,-0.7845694933333309
2026-04-20 10:50:00,17.82,68.56666666666666,1.7233333333333336,717.8333333333333,-42.07666666666667,7.35351830277778
2026-04-20 10:55:00,17.975,68.16666666666666,1.5433333333333334,745.0833333333333,-40.96666666666667,5.788413969444447
2026-04-20 11:00:00,18.305,67.2,1.4,752.85,-40.3,1.1911159033333352
2026-04-20 11:05:00,18.91,65.5,1.1179999999999999,754.2,-39.519999999999996,9.281390326666669
2026-04-20 11:10:00,19.07,64.9,2.087,776.2,-39.129999999999995,-2.526222993333332
2026-04-20 11:15:00,18.97,65.0,1.8780000000000001,787.1,-40.42999999999999,-13.15557102
2026-04-20 11:20:00,19.34,63.599999999999994,1.1670000000000003,794.8,-41.08,-3.671172221666665
2026-04-20 11:25:00,19.41,62.8,1.7350000000000003,812.3,-41.03,-0.6226934083333315
2026-04-20 11:30:00,19.23,63.0,2.019,831.2,-33.41,-2.0453048633333313
2026-04-20 11:35:00,19.42,62.599999999999994,1.9610000000000003,838.7,-32.370000000000005,-5.517065584999997
2026-04-20 11:40:00,19.28,62.8,1.985,849.8,-39.46000000000001,-6.509878589999997
2026-04-20 11:45:00,19.630000000000003,61.2,1.5340000000000003,878.0,-40.410000000000004,-1.8952783449999981
2026-04-20 11:50:00,20.299999999999997,58.900000000000006,1.0730000000000004,769.8,-41.9,-8.331062391666666
2026-04-20 11:55:00,20.03,59.6,1.4180000000000004,630.0,-39.519999999999996,4.530459501666669
2026-04-20 12:00:00,19.53,60.8,1.5920000000000005,630.0999999999999,-33.08,8.771059891666667
2026-04-20 12:05:00,19.4,60.9,2.2530000000000006,757.7,-30.43,-12.19332030333333
2026-04-20 12:10:00,19.520000000000003,60.599999999999994,2.2130000000000005,823.8,-35.14,-16.768929059999994
2026-04-20 12:15:00,19.73,60.2,1.1250000000000004,537.0,-34.15,3.826060003333339
2026-04-20 12:20:00,19.840000000000003,59.8,1.0580000000000005,316.5,-28.25,14.916184485000002
2026-04-20 12:25:00,20.130000000000003,59.1,1.0480000000000005,529.8,-19.279999999999998,-5.9049752433333325
2026-04-20 12:30:00,20.36,58.5,1.3680000000000003,763.9,-20.99,-18.360559144999996
2026-04-20 12:35:00,20.22,58.599999999999994,1.9090000000000005,902.8,-28.529999999999998,-27.681503994999996
2026-04-20 12:40:00,20.6,57.4,1.5020000000000004,1016.6,-7.489999999999998,-27.48266127833333
2026-04-20 12:45:00,20.83,56.2,1.5100000000000005,1013.4000000000001,8.98,-33.222377095
2026-04-20 12:50:00,20.479999999999997,56.9,2.2070000000000003,851.5999999999999,9.9,-41.12185328999999
