[Connect DataFile][2.1]
Date:	28/04/2026
Time:	14:32:11
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	-10,7	24,4	24,0	-10,7	0,0	0,0	0,0	0,950	0,000	5020,871	0,0	-10,4		14:32:11:712		
000:01:00,000	-6,2	24,5	24,2	-6,1	0,0	0,0	0,0	0,950	0,000	5022,093	0,0	-6,0		14:33:11:712		
000:02:00,000	-7,5	24,8	24,5	-7,5	0,0	0,0	0,0	0,950	0,000	5022,206	0,0	-7,5		14:34:11:712		
000:03:00,000	-12,5	25,2	24,9	-12,5	0,0	0,0	0,0	0,950	0,000	5021,713	0,0	-12,5		14:35:11:712		
000:04:00,000	-20,2	25,4	25,1	-20,2	0,0	0,0	0,0	0,950	0,000	5027,407	0,0	-20,1		14:36:11:712		
000:05:00,000	3,6	25,8	25,5	3,7	0,0	0,0	0,0	0,950	0,000	5023,537	0,0	3,8		14:37:11:712		
000:06:00,000	11,7	26,0	25,6	11,7	0,0	0,0	0,0	0,950	0,000	5022,759	0,0	11,7		14:38:11:712		
000:07:00,000	11,5	26,3	25,8	11,5	0,0	0,0	0,0	0,950	0,000	5022,645	0,0	11,5		14:39:11:712		
000:08:00,000	10,9	26,0	25,8	10,9	0,0	0,0	0,0	0,950	0,000	5022,991	0,0	11,1		14:40:11:712		
000:09:00,000	10,6	25,5	25,8	10,6	0,0	0,0	0,0	0,950	0,000	5022,841	0,0	10,7		14:41:11:712		
---------------------------------
End of File
