[Connect DataFile][2.1]
Date:	28/04/2026
Time:	12:14:33
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:44:00,000	-24,9	26,7	27,0	-24,9	0,0	0,0	0,0	0,950	0,000	5026,420	0,0	-24,9		12:58:33:668		
000:45:00,000	-23,5	26,3	26,8	-23,5	0,0	0,0	0,0	0,950	0,000	5024,361	0,0	-23,2		12:59:33:668		
000:46:00,000	-26,2	25,9	26,5	-26,2	0,0	0,0	0,0	0,950	0,000	5018,907	0,0	-25,8		13:00:33:668		
000:47:00,000	-25,7	25,4	25,9	-25,7	0,0	0,0	0,0	0,950	0,000	5022,664	0,0	-25,5		13:01:33:668		
000:48:00,000	-25,8	25,7	25,9	-25,8	0,0	0,0	0,0	0,950	0,000	5022,204	0,0	-25,5		13:02:33:668		
000:49:00,000	-28,0	26,1	25,9	-28,0	0,0	0,0	0,0	0,950	0,000	5022,759	0,0	-27,7		13:03:33:668		
000:50:00,000	-30,0	24,9	25,7	-30,0	0,0	0,0	0,0	0,950	0,000	5021,467	0,0	-29,7		13:04:33:668		
000:51:00,000	-30,9	24,1	24,9	-30,9	0,0	0,0	0,0	0,950	0,000	5021,528	0,0	-30,8		13:05:33:668		
000:52:00,000	-30,7	24,3	24,8	-30,7	0,0	0,0	0,0	0,950	0,000	5021,926	0,0	-30,7		13:06:33:668		
000:53:00,000	-24,9	24,8	24,8	-24,9	0,0	0,0	0,0	0,950	0,000	5021,580	0,0	-24,8		13:07:33:668		
000:54:00,000	-20,5	24,7	24,8	-20,5	0,0	0,0	0,0	0,950	0,000	5022,213	0,0	-20,4		13:08:33:668		
000:55:00,000	-22,8	25,2	24,8	-22,8	0,0	0,0	0,0	0,950	0,000	5022,869	0,0	-22,8		13:09:33:668		
000:56:00,000	-23,5	26,3	25,5	-23,5	0,0	0,0	0,0	0,950	0,000	5022,148	0,0	-23,2		13:10:33:668		
000:57:00,000	-25,8	26,9	26,2	-25,8	0,0	0,0	0,0	0,950	0,000	5022,972	0,0	-25,8		13:11:33:668		
000:58:00,000	-26,2	26,9	26,5	-26,2	0,0	0,0	0,0	0,950	0,000	5024,028	0,0	-26,0		13:12:33:668		
000:59:00,000	-29,0	26,2	26,5	-29,0	0,0	0,0	0,0	0,950	0,000	5024,009	0,0	-28,9		13:13:33:668		
001:00:00,000	-31,1	25,4	25,9	-31,1	0,0	0,0	0,0	0,950	0,000	5022,028	0,0	-30,9		13:14:33:668		
001:01:00,000	-31,6	25,7	25,8	-31,6	0,0	0,0	0,0	0,950	0,000	5022,528	0,0	-31,3		13:15:33:668		
001:02:00,000	-32,4	25,8	25,8	-32,3	0,0	0,0	0,0	0,950	0,000	5022,720	0,0	-32,1		13:16:33:668		
001:03:00,000	-31,1	26,0	25,8	-31,1	0,0	0,0	0,0	0,950	0,000	5022,806	0,0	-30,9		13:17:33:668		
001:04:00,000	-31,2	25,4	25,7	-31,2	0,0	0,0	0,0	0,950	0,000	5021,935	0,0	-30,9		13:18:33:668		
001:05:00,000	-31,1	24,5	25,1	-31,1	0,0	0,0	0,0	0,950	0,000	5021,528	0,0	-31,2		13:19:33:668		
001:06:00,000	-26,8	24,7	25,0	-26,8	0,0	0,0	0,0	0,950	0,000	5022,056	0,0	-26,7		13:20:33:668		
001:07:00,000	-29,0	24,5	24,9	-29,0	0,0	0,0	0,0	0,950	0,000	5021,287	0,0	-28,9		13:21:33:668		
001:08:00,000	-27,9	24,2	24,6	-27,9	0,0	0,0	0,0	0,950	0,000	5021,028	0,0	-27,8		13:22:33:668		
001:09:00,000	-26,7	24,7	24,6	-26,7	0,0	0,0	0,0	0,950	0,000	5021,213	0,0	-26,6		13:23:33:668		
001:10:00,000	-19,7	25,4	24,7	-19,7	0,0	0,0	0,0	0,950	0,000	5022,981	0,0	-19,5		13:24:33:668		
001:11:00,000	-4,5	26,1	25,2	-4,5	0,0	0,0	0,0	0,950	0,000	5022,234	0,0	-4,2		13:25:33:668		
001:12:00,000	-14,3	26,4	25,6	-14,3	0,0	0,0	0,0	0,950	0,000	5023,241	0,0	-14,1		13:26:33:668		
001:13:00,000	-18,6	26,3	25,9	-18,6	0,0	0,0	0,0	0,950	0,000	5021,935	0,0	-18,6		13:27:33:668		
001:14:00,000	-32,5	27,0	26,5	-32,5	0,0	0,0	0,0	0,950	0,000	5023,981	0,0	-32,4		13:28:33:668		
001:15:00,000	-33,2	27,5	27,1	-33,2	0,0	0,0	0,0	0,950	0,000	5027,167	0,0	-33,1		13:29:33:668		
001:16:00,000	-30,3	28,0	27,4	-30,2	0,0	0,0	0,0	0,950	0,000	5024,843	0,0	-29,9		13:30:33:668		
001:17:00,000	-29,1	28,5	27,9	-29,0	0,0	0,0	0,0	0,950	0,000	5025,833	0,0	-29,1		13:31:33:668		
001:18:00,000	-19,5	28,8	28,3	-19,5	0,0	0,0	0,0	0,950	0,000	5027,611	0,0	-19,2		13:32:33:668		
001:19:00,000	-21,4	28,7	28,4	-21,4	0,0	0,0	0,0	0,950	0,000	5027,420	0,0	-21,3		13:33:33:668		
001:20:00,000	-25,0	28,0	28,2	-25,0	0,0	0,0	0,0	0,950	0,000	5025,046	0,0	-24,8		13:34:33:668		
001:21:00,000	-21,4	27,9	27,8	-21,4	0,0	0,0	0,0	0,950	0,000	5024,505	0,0	-21,3		13:35:33:668		
001:22:00,000	-23,9	29,0	28,1	-23,9	0,0	0,0	0,0	0,950	0,000	5026,129	0,0	-24,0		13:36:33:668		
001:23:00,000	-26,8	29,2	28,6	-26,8	0,0	0,0	0,0	0,950	0,000	5027,889	0,0	-26,6		13:37:33:668		
001:24:00,000	-28,2	28,5	28,6	-28,2	0,0	0,0	0,0	0,950	0,000	5026,769	0,0	-27,9		13:38:33:668		
001:25:00,000	-28,1	27,2	27,8	-28,1	0,0	0,0	0,0	0,950	0,000	5025,083	0,0	-28,2		13:39:33:668		
001:26:00,000	-28,2	26,3	27,0	-28,2	0,0	0,0	0,0	0,950	0,000	5022,741	0,0	-28,0		13:40:33:668		
001:27:00,000	-27,9	26,0	26,6	-27,9	0,0	0,0	0,0	0,950	0,000	5023,176	0,0	-27,8		13:41:33:668		
001:28:00,000	-10,7	26,0	26,5	-10,7	0,0	0,0	0,0	0,950	0,000	5023,954	0,0	-10,6		13:42:33:668		
001:29:00,000	-4,1	25,8	26,3	-4,0	0,0	0,0	0,0	0,950	0,000	5022,617	0,0	-3,9		13:43:33:668		
001:30:00,000	1,8	25,4	25,9	1,8	0,0	0,0	0,0	0,950	0,000	5023,560	0,0	2,0		13:44:33:668		
001:31:00,000	2,2	25,8	25,8	2,2	0,0	0,0	0,0	0,950	0,000	5022,477	0,0	2,3		13:45:33:668		
001:32:00,000	-13,6	26,1	25,9	-13,6	0,0	0,0	0,0	0,950	0,000	5022,879	0,0	-13,6		13:46:33:668		
001:33:00,000	-21,2	26,3	26,1	-21,2	0,0	0,0	0,0	0,950	0,000	5022,954	0,0	-21,1		13:47:33:668		
001:34:00,000	4,2	26,2	26,1	4,2	0,0	0,0	0,0	0,950	0,000	5023,694	0,0	4,4		13:48:33:668		
001:35:00,000	8,5	25,9	26,1	8,5	0,0	0,0	0,0	0,950	0,000	5022,787	0,0	8,6		13:49:33:668		
