[Connect DataFile][2.1]
Date:	20/04/2026
Time:	09:36:08
Unit:	°C
Resolution:	300,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	-42,6	20,3	19,6	-42,6	0,0	0,0	0,0	0,950	0,000	4981,432	0,0	-42,4		09:36:08:788		
000:05:00,000	-42,5	21,0	20,4	-42,5	0,0	0,0	0,0	0,950	0,000	5016,499	0,0	-42,3		09:41:08:788		
000:10:00,000	-42,9	20,4	20,4	-42,9	0,0	0,0	0,0	0,950	0,000	5015,461	0,0	-42,7		09:46:08:788		
000:15:00,000	-42,8	20,6	20,4	-42,8	0,0	0,0	0,0	0,950	0,000	5017,663	0,0	-42,7		09:51:08:788		
000:20:00,000	-42,9	21,3	20,6	-42,9	0,0	0,0	0,0	0,950	0,000	5017,259	0,0	-42,7		09:56:08:788		
000:25:00,000	-42,8	20,2	20,4	-42,7	0,0	0,0	0,0	0,950	0,000	5016,173	0,0	-42,5		10:01:08:788		
---------------------------------
End of File
