[Connect DataFile][2.1]
Date:	20/04/2026
Time:	11:19:49
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:43:00,000	-29,3	22,1	22,7	-29,3	0,0	0,0	0,0	0,950	0,000	5017,629	0,0	-29,2		12:02:49:473		
000:44:00,000	-29,8	22,9	22,6	-29,8	0,0	0,0	0,0	0,950	0,000	5018,056	0,0	-29,7		12:03:49:473		
000:45:00,000	-30,6	24,0	23,3	-30,6	0,0	0,0	0,0	0,950	0,000	5019,546	0,0	-30,4		12:04:49:473		
000:46:00,000	-31,7	24,4	23,7	-31,7	0,0	0,0	0,0	0,950	0,000	5020,729	0,0	-31,6		12:05:49:473		
000:47:00,000	-34,2	24,3	23,8	-34,2	0,0	0,0	0,0	0,950	0,000	5021,787	0,0	-33,9		12:06:49:473		
000:48:00,000	-19,0	23,7	23,8	-19,0	0,0	0,0	0,0	0,950	0,000	5019,917	0,0	-18,9		12:07:49:473		
000:49:00,000	-28,3	23,3	23,5	-28,3	0,0	0,0	0,0	0,950	0,000	5019,500	0,0	-28,1		12:08:49:473		
000:50:00,000	-39,3	23,3	23,4	-39,3	0,0	0,0	0,0	0,950	0,000	5019,871	0,0	-39,2		12:09:49:473		
000:51:00,000	-40,2	23,2	23,2	-40,2	0,0	0,0	0,0	0,950	0,000	5019,926	0,0	-40,1		12:10:49:473		
000:52:00,000	-41,9	23,0	23,2	-41,9	0,0	0,0	0,0	0,950	0,000	5018,346	0,0	-41,7		12:11:49:473		
000:53:00,000	-39,7	23,7	23,3	-39,7	0,0	0,0	0,0	0,950	0,000	5019,241	0,0	-39,6		12:12:49:473		
000:54:00,000	-38,5	24,4	23,7	-38,4	0,0	0,0	0,0	0,950	0,000	5020,778	0,0	-38,3		12:13:49:473		
000:55:00,000	-38,7	24,6	24,0	-38,7	0,0	0,0	0,0	0,950	0,000	5020,731	0,0	-38,6		12:14:49:473		
000:56:00,000	-41,0	23,9	24,1	-40,9	0,0	0,0	0,0	0,950	0,000	5021,589	0,0	-40,9		12:15:49:473		
000:57:00,000	-42,1	23,0	23,9	-42,1	0,0	0,0	0,0	0,950	0,000	5020,278	0,0	-42,0		12:16:49:473		
