[Connect DataFile][2.1]
Date:	28/04/2026
Time:	14:09:08
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	-5,8	26,6	26,0	-5,8	0,0	0,0	0,0	0,950	0,000	5026,129	0,0	-5,6		14:09:08:911		
000:01:00,000	-4,7	25,9	26,0	-4,7	0,0	0,0	0,0	0,950	0,000	5022,495	0,0	-4,7		14:10:08:911		
000:02:00,000	-26,5	25,6	26,0	-26,5	0,0	0,0	0,0	0,950	0,000	5023,491	0,0	-26,3		14:11:08:911		
000:03:00,000	-22,2	25,4	25,8	-22,2	0,0	0,0	0,0	0,950	0,000	5022,167	0,0	-22,1		14:12:08:911		
---------------------------------
End of File
