[Connect DataFile][2.1]
Date:	20/04/2026
Time:	16:59:18
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:43:00,000	-37,6	25,5	25,3	-37,6	0,0	0,0	0,0	0,950	0,000	5022,944	0,0	-37,4		17:42:18:736		
000:44:00,000	-38,8	25,0	25,3	-38,8	0,0	0,0	0,0	0,950	0,000	5022,055	0,0	-38,6		17:43:18:736		
000:45:00,000	-39,0	25,1	25,3	-39,0	0,0	0,0	0,0	0,950	0,000	5021,879	0,0	-38,7		17:44:18:736		
000:46:00,000	-38,6	25,3	25,3	-38,6	0,0	0,0	0,0	0,950	0,000	5022,954	0,0	-38,1		17:45:18:736		
000:47:00,000	-38,0	25,5	25,3	-38,0	0,0	0,0	0,0	0,950	0,000	5022,761	0,0	-37,8		17:46:18:736		
000:48:00,000	-37,5	25,9	25,4	-37,5	0,0	0,0	0,0	0,950	0,000	5023,379	0,0	-37,3		17:47:18:736		
000:49:00,000	-36,0	26,2	25,8	-36,0	0,0	0,0	0,0	0,950	0,000	5023,972	0,0	-35,8		17:48:18:736		
000:50:00,000	-36,4	26,8	26,3	-36,4	0,0	0,0	0,0	0,950	0,000	5024,587	0,0	-36,2		17:49:18:736		
000:51:00,000	-37,2	27,2	26,7	-37,2	0,0	0,0	0,0	0,950	0,000	5024,731	0,0	-36,9		17:50:18:736		
000:52:00,000	-38,6	27,1	26,9	-38,6	0,0	0,0	0,0	0,950	0,000	5024,537	0,0	-38,4		17:51:18:736		
000:53:00,000	-38,3	26,6	26,9	-38,3	0,0	0,0	0,0	0,950	0,000	5023,685	0,0	-37,9		17:52:18:736		
000:54:00,000	-37,6	26,9	26,8	-37,6	0,0	0,0	0,0	0,950	0,000	5023,528	0,0	-37,5		17:53:18:736		
000:55:00,000	-38,6	26,8	26,8	-38,6	0,0	0,0	0,0	0,950	0,000	5024,771	0,0	-38,3		17:54:18:736		
000:56:00,000	-38,4	26,2	26,6	-38,4	0,0	0,0	0,0	0,950	0,000	5023,972	0,0	-38,2		17:55:18:736		
000:57:00,000	-37,6	26,4	26,6	-37,6	0,0	0,0	0,0	0,950	0,000	5023,722	0,0	-37,4		17:56:18:736		
000:58:00,000	-36,6	26,2	26,5	-36,6	0,0	0,0	0,0	0,950	0,000	5023,694	0,0	-36,5		17:57:18:736		
000:59:00,000	-37,2	26,3	26,4	-37,1	0,0	0,0	0,0	0,950	0,000	5023,908	0,0	-37,0		17:58:18:736		
001:00:00,000	-36,5	27,0	26,6	-36,5	0,0	0,0	0,0	0,950	0,000	5025,509	0,0	-36,3		17:59:18:736		
001:01:00,000	-36,2	27,5	27,1	-36,2	0,0	0,0	0,0	0,950	0,000	5024,981	0,0	-36,1		18:00:18:736		
001:02:00,000	-37,4	27,4	27,1	-37,3	0,0	0,0	0,0	0,950	0,000	5024,907	0,0	-37,4		18:01:18:736		
001:03:00,000	-39,9	26,9	27,1	-39,8	0,0	0,0	0,0	0,950	0,000	5025,981	0,0	-39,8		18:02:18:736		
001:04:00,000	-41,5	25,6	26,4	-41,5	0,0	0,0	0,0	0,950	0,000	5022,898	0,0	-41,3		18:03:18:736		
001:05:00,000	-41,4	24,7	25,5	-41,4	0,0	0,0	0,0	0,950	0,000	5023,816	0,0	-41,2		18:04:18:736		
001:06:00,000	-40,9	24,3	24,9	-40,9	0,0	0,0	0,0	0,950	0,000	5022,750	0,0	-40,6		18:05:18:736		
001:07:00,000	-40,4	24,0	24,6	-40,4	0,0	0,0	0,0	0,950	0,000	5020,676	0,0	-40,2		18:06:18:736		
001:08:00,000	-38,3	24,2	24,5	-38,3	0,0	0,0	0,0	0,950	0,000	5022,278	0,0	-37,9		18:07:18:736		
001:09:00,000	-38,3	24,5	24,5	-38,3	0,0	0,0	0,0	0,950	0,000	5021,743	0,0	-38,0		18:08:18:736		
001:10:00,000	-38,0	24,7	24,5	-38,0	0,0	0,0	0,0	0,950	0,000	5022,028	0,0	-37,7		18:09:18:736		
001:11:00,000	-39,2	24,4	24,5	-39,2	0,0	0,0	0,0	0,950	0,000	5022,407	0,0	-38,9		18:10:18:736		
001:12:00,000	-39,0	24,2	24,5	-38,9	0,0	0,0	0,0	0,950	0,000	5020,872	0,0	-38,7		18:11:18:736		
001:13:00,000	-36,7	24,5	24,5	-36,7	0,0	0,0	0,0	0,950	0,000	5022,111	0,0	-36,6		18:12:18:736		
001:14:00,000	-37,4	25,2	24,7	-37,4	0,0	0,0	0,0	0,950	0,000	5022,009	0,0	-37,4		18:13:18:736		
001:15:00,000	-38,2	25,8	25,3	-38,2	0,0	0,0	0,0	0,950	0,000	5023,194	0,0	-38,2		18:14:18:736		
001:16:00,000	-39,6	25,7	25,4	-39,6	0,0	0,0	0,0	0,950	0,000	5022,741	0,0	-39,6		18:15:18:736		
001:17:00,000	-38,6	26,0	25,6	-38,6	0,0	0,0	0,0	0,950	0,000	5023,667	0,0	-38,5		18:16:18:736		
001:18:00,000	-38,0	26,1	25,8	-38,0	0,0	0,0	0,0	0,950	0,000	5023,843	0,0	-37,6		18:17:18:736		
001:19:00,000	-38,0	25,8	25,8	-38,0	0,0	0,0	0,0	0,950	0,000	5022,787	0,0	-37,7		18:18:18:736		
001:20:00,000	-37,7	25,9	25,8	-37,6	0,0	0,0	0,0	0,950	0,000	5023,147	0,0	-37,4		18:19:18:736		
