[Connect DataFile][2.1]
Date:	20/04/2026
Time:	10:06:31
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	-42,2	21,0	20,6	-42,2	0,0	0,0	0,0	0,950	0,000	5020,019	0,0	-41,9		10:06:31:819		
000:01:00,000	-42,1	21,2	20,6	-42,1	0,0	0,0	0,0	0,950	0,000	5016,574	0,0	-41,9		10:07:31:819		
000:02:00,000	-42,0	21,9	21,0	-41,9	0,0	0,0	0,0	0,950	0,000	5017,398	0,0	-41,5		10:08:31:819		
000:03:00,000	-42,5	21,9	21,3	-42,5	0,0	0,0	0,0	0,950	0,000	5018,084	0,0	-42,5		10:09:31:819		
000:04:00,000	-42,2	22,0	21,3	-42,2	0,0	0,0	0,0	0,950	0,000	5020,796	0,0	-41,8		10:10:31:819		
000:05:00,000	-42,2	21,8	21,5	-42,2	0,0	0,0	0,0	0,950	0,000	5016,981	0,0	-42,0		10:11:31:819		
000:06:00,000	-42,9	21,5	21,5	-42,9	0,0	0,0	0,0	0,950	0,000	5017,954	0,0	-42,6		10:12:31:819		
000:07:00,000	-43,2	21,3	21,4	-43,2	0,0	0,0	0,0	0,950	0,000	5018,185	0,0	-43,0		10:13:31:819		
000:08:00,000	-42,7	21,5	21,2	-42,7	0,0	0,0	0,0	0,950	0,000	5017,963	0,0	-42,5		10:14:31:819		
000:09:00,000	-42,7	21,5	21,2	-42,7	0,0	0,0	0,0	0,950	0,000	5019,972	0,0	-42,5		10:15:31:819		
000:10:00,000	-42,4	22,0	21,3	-42,4	0,0	0,0	0,0	0,950	0,000	5018,187	0,0	-42,2		10:16:31:819		
000:11:00,000	-42,4	22,0	21,5	-42,4	0,0	0,0	0,0	0,950	0,000	5018,383	0,0	-42,2		10:17:31:819		
000:12:00,000	-42,8	22,1	21,5	-42,8	0,0	0,0	0,0	0,950	0,000	5019,309	0,0	-42,6		10:18:31:819		
000:13:00,000	-42,1	22,5	21,7	-42,1	0,0	0,0	0,0	0,950	0,000	5019,570	0,0	-41,9		10:19:31:819		
000:14:00,000	-42,2	22,1	21,8	-42,2	0,0	0,0	0,0	0,950	0,000	5017,710	0,0	-41,9		10:20:31:819		
000:15:00,000	-43,1	21,5	21,6	-43,1	0,0	0,0	0,0	0,950	0,000	5017,701	0,0	-43,0		10:21:31:819		
000:16:00,000	-42,4	22,0	21,6	-42,4	0,0	0,0	0,0	0,950	0,000	5018,832	0,0	-42,1		10:22:31:819		
000:17:00,000	-42,4	22,4	21,8	-42,4	0,0	0,0	0,0	0,950	0,000	5019,009	0,0	-42,1		10:23:31:819		
000:18:00,000	-42,4	22,7	22,1	-42,4	0,0	0,0	0,0	0,950	0,000	5018,691	0,0	-42,3		10:24:31:819		
000:19:00,000	-43,0	22,3	22,2	-42,9	0,0	0,0	0,0	0,950	0,000	5018,333	0,0	-42,7		10:25:31:819		
000:20:00,000	-42,5	21,9	22,0	-42,5	0,0	0,0	0,0	0,950	0,000	5018,607	0,0	-42,4		10:26:31:819		
000:21:00,000	-42,9	21,5	21,7	-42,9	0,0	0,0	0,0	0,950	0,000	5017,701	0,0	-42,8		10:27:31:819		
000:22:00,000	-42,4	21,7	21,6	-42,4	0,0	0,0	0,0	0,950	0,000	5018,393	0,0	-42,3		10:28:31:819		
000:23:00,000	-42,4	21,5	21,6	-42,4	0,0	0,0	0,0	0,950	0,000	5017,664	0,0	-42,4		10:29:31:819		
000:24:00,000	-42,9	21,2	21,4	-42,9	0,0	0,0	0,0	0,950	0,000	5019,514	0,0	-42,8		10:30:31:819		
000:25:00,000	-42,8	21,4	21,4	-42,8	0,0	0,0	0,0	0,950	0,000	5017,393	0,0	-42,4		10:31:31:819		
000:26:00,000	-42,5	22,0	21,4	-42,5	0,0	0,0	0,0	0,950	0,000	5018,299	0,0	-42,2		10:32:31:819		
000:27:00,000	-41,6	22,7	21,8	-41,6	0,0	0,0	0,0	0,950	0,000	5026,410	0,0	-41,5		10:33:31:819		
000:28:00,000	-42,0	22,1	22,0	-42,0	0,0	0,0	0,0	0,950	0,000	5027,804	0,0	-42,0		10:34:31:819		
000:29:00,000	-42,3	21,9	21,8	-42,3	0,0	0,0	0,0	0,950	0,000	5023,234	0,0	-42,1		10:35:31:819		
000:30:00,000	-42,3	21,7	21,7	-42,3	0,0	0,0	0,0	0,950	0,000	5024,411	0,0	-41,9		10:36:31:819		
000:31:00,000	-42,1	21,7	21,6	-42,1	0,0	0,0	0,0	0,950	0,000	5022,463	0,0	-41,8		10:37:31:819		
000:32:00,000	-42,2	21,9	21,6	-42,2	0,0	0,0	0,0	0,950	0,000	5031,748	0,0	-42,2		10:38:31:819		
000:33:00,000	-42,0	22,0	21,6	-42,0	0,0	0,0	0,0	0,950	0,000	5021,925	0,0	-41,9		10:39:31:819		
000:34:00,000	-42,2	21,9	21,6	-42,2	0,0	0,0	0,0	0,950	0,000	5022,505	0,0	-41,9		10:40:31:819		
000:35:00,000	-41,9	22,3	21,6	-41,9	0,0	0,0	0,0	0,950	0,000	5024,589	0,0	-41,9		10:41:31:819		
000:36:00,000	-42,1	22,5	21,8	-42,1	0,0	0,0	0,0	0,950	0,000	5024,626	0,0	-42,0		10:42:31:819		
000:37:00,000	-41,2	22,9	22,3	-41,2	0,0	0,0	0,0	0,950	0,000	5025,645	0,0	-40,9		10:43:31:819		
000:38:00,000	-41,6	22,1	22,2	-41,6	0,0	0,0	0,0	0,950	0,000	5021,505	0,0	-41,6		10:44:31:819		
000:39:00,000	-41,9	21,6	21,8	-41,9	0,0	0,0	0,0	0,950	0,000	5022,393	0,0	-41,7		10:45:31:819		
000:40:00,000	-41,7	21,8	21,7	-41,7	0,0	0,0	0,0	0,950	0,000	5021,657	0,0	-41,4		10:46:31:819		
000:41:00,000	-41,9	21,9	21,7	-41,9	0,0	0,0	0,0	0,950	0,000	5022,262	0,0	-41,7		10:47:31:819		
000:42:00,000	-42,1	22,0	21,7	-42,1	0,0	0,0	0,0	0,950	0,000	5021,477	0,0	-42,0		10:48:31:819		
000:43:00,000	-42,5	21,3	21,5	-42,5	0,0	0,0	0,0	0,950	0,000	5020,981	0,0	-42,3		10:49:31:819		
000:44:00,000	-42,8	20,8	21,1	-42,8	0,0	0,0	0,0	0,950	0,000	5020,318	0,0	-42,6		10:50:31:819		
000:45:00,000	-41,8	21,9	21,2	-41,8	0,0	0,0	0,0	0,950	0,000	5020,561	0,0	-41,5		10:51:31:819		
---------------------------------
End of File
