[Connect DataFile][2.1]
Date:	22/04/2026
Time:	10:15:48
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	-0,4	16,7	16,0	-0,4	0,0	0,0	0,0	0,950	0,000	4832,019	0,0	-0,3		10:15:48:460		
000:01:00,000	-3,3	16,4	16,4	-3,3	0,0	0,0	0,0	0,950	0,000	5015,546	0,0	-3,1		10:16:48:460		
000:02:00,000	-7,9	16,6	16,6	-7,9	0,0	0,0	0,0	0,950	0,000	5015,231	0,0	-7,7		10:17:48:460		
000:03:00,000	-10,6	16,1	16,7	-10,6	0,0	0,0	0,0	0,950	0,000	5015,324	0,0	-10,3		10:18:48:460		
000:04:00,000	-11,6	15,3	16,3	-11,6	0,0	0,0	0,0	0,950	0,000	5015,537	0,0	-11,5		10:19:48:460		
000:05:00,000	-6,7	15,1	16,0	-6,7	0,0	0,0	0,0	0,950	0,000	5019,565	0,0	-6,5		10:20:48:460		
000:06:00,000	-5,1	15,1	15,9	-5,1	0,0	0,0	0,0	0,950	0,000	5019,148	0,0	-4,9		10:21:48:460		
000:07:00,000	-7,3	15,5	15,9	-7,3	0,0	0,0	0,0	0,950	0,000	5016,583	0,0	-7,1		10:22:48:460		
000:08:00,000	-6,6	15,6	15,9	-6,6	0,0	0,0	0,0	0,950	0,000	5014,444	0,0	-6,7		10:23:48:460		
000:09:00,000	-0,4	16,1	16,1	-0,4	0,0	0,0	0,0	0,950	0,000	5014,583	0,0	-0,2		10:24:48:460		
000:10:00,000	4,3	16,2	16,3	4,3	0,0	0,0	0,0	0,950	0,000	5016,907	0,0	4,3		10:25:48:460		
000:11:00,000	4,4	16,6	16,6	4,5	0,0	0,0	0,0	0,950	0,000	5018,287	0,0	4,5		10:26:48:460		
000:12:00,000	-1,9	16,5	16,7	-1,9	0,0	0,0	0,0	0,950	0,000	5015,731	0,0	-1,7		10:27:48:460		
000:13:00,000	-5,7	16,2	16,7	-5,7	0,0	0,0	0,0	0,950	0,000	5015,852	0,0	-5,6		10:28:48:460		
000:14:00,000	-1,2	15,9	16,6	-1,1	0,0	0,0	0,0	0,950	0,000	5015,278	0,0	-1,1		10:29:48:460		
000:15:00,000	0,5	15,3	16,4	0,5	0,0	0,0	0,0	0,950	0,000	5013,231	0,0	0,6		10:30:48:460		
000:16:00,000	-5,8	15,4	16,3	-5,8	0,0	0,0	0,0	0,950	0,000	5013,231	0,0	-5,7		10:31:48:460		
000:17:00,000	0,2	16,1	16,3	0,3	0,0	0,0	0,0	0,950	0,000	5016,194	0,0	0,3		10:32:48:460		
000:18:00,000	2,3	16,5	16,4	2,3	0,0	0,0	0,0	0,950	0,000	5015,352	0,0	2,4		10:33:48:460		
000:19:00,000	-0,7	16,6	16,6	-0,7	0,0	0,0	0,0	0,950	0,000	5015,140	0,0	-0,5		10:34:48:460		
000:20:00,000	-1,2	16,8	16,8	-1,2	0,0	0,0	0,0	0,950	0,000	5015,769	0,0	-1,3		10:35:48:460		
000:21:00,000	-1,0	16,5	16,8	-1,0	0,0	0,0	0,0	0,950	0,000	5014,741	0,0	-0,9		10:36:48:460		
000:22:00,000	0,7	16,5	16,8	0,7	0,0	0,0	0,0	0,950	0,000	5017,028	0,0	0,7		10:37:48:460		
000:23:00,000	4,0	16,7	16,8	4,0	0,0	0,0	0,0	0,950	0,000	5017,296	0,0	4,1		10:38:48:460		
000:24:00,000	1,9	16,1	16,9	1,9	0,0	0,0	0,0	0,950	0,000	5016,463	0,0	2,0		10:39:48:460		
000:25:00,000	2,4	15,4	16,4	2,4	0,0	0,0	0,0	0,950	0,000	5014,871	0,0	2,5		10:40:48:460		
000:26:00,000	-0,6	14,8	15,9	-0,6	0,0	0,0	0,0	0,950	0,000	5015,393	0,0	-0,4		10:41:48:460		
000:27:00,000	-0,8	15,0	15,8	-0,8	0,0	0,0	0,0	0,950	0,000	5016,500	0,0	-0,7		10:42:48:460		
000:28:00,000	0,0	15,5	15,8	0,0	0,0	0,0	0,0	0,950	0,000	5015,361	0,0	0,0		10:43:48:460		
000:29:00,000	0,0	15,1	15,8	0,0	0,0	0,0	0,0	0,950	0,000	5013,833	0,0	0,0		10:44:48:460		
000:30:00,000	-0,1	15,1	15,8	-0,1	0,0	0,0	0,0	0,950	0,000	5015,593	0,0	0,0		10:45:48:460		
000:31:00,000	-3,1	15,2	15,8	-3,1	0,0	0,0	0,0	0,950	0,000	5016,287	0,0	-3,0		10:46:48:460		
000:32:00,000	-6,4	15,9	15,9	-6,4	0,0	0,0	0,0	0,950	0,000	5014,794	0,0	-6,4		10:47:48:460		
000:33:00,000	-7,4	16,4	16,3	-7,4	0,0	0,0	0,0	0,950	0,000	5015,129	0,0	-7,4		10:48:48:460		
000:34:00,000	-27,1	16,6	16,6	-27,1	0,0	0,0	0,0	0,950	0,000	5016,491	0,0	-27,1		10:49:48:460		
000:35:00,000	-24,2	16,5	16,7	-24,2	0,0	0,0	0,0	0,950	0,000	5014,917	0,0	-24,0		10:50:48:460		
000:36:00,000	-5,6	16,4	16,7	-5,5	0,0	0,0	0,0	0,950	0,000	5014,701	0,0	-5,5		10:51:48:460		
---------------------------------
End of File
