[Connect DataFile][2.1]
Date:	20/04/2026
Time:	11:00:52
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00,000	-41,3	22,7	21,9	-41,3	0,0	0,0	0,0	0,950	0,000	4842,556	0,0	-41,1		11:00:52:190		
000:01:00,000	-40,7	23,6	22,6	-40,7	0,0	0,0	0,0	0,950	0,000	5028,009	0,0	-40,7		11:01:52:190		
000:02:00,000	-39,4	24,5	23,4	-39,4	0,0	0,0	0,0	0,950	0,000	5028,806	0,0	-39,2		11:02:52:190		
000:03:00,000	-39,5	24,8	23,9	-39,5	0,0	0,0	0,0	0,950	0,000	5027,917	0,0	-39,2		11:03:52:190		
000:04:00,000	-43,1	24,6	23,9	-43,1	0,0	0,0	0,0	0,950	0,000	5028,303	0,0	-43,0		11:04:52:190		
000:05:00,000	-42,8	24,9	24,1	-42,8	0,0	0,0	0,0	0,950	0,000	5029,925	0,0	-42,8		11:05:52:190		
000:06:00,000	-37,7	25,6	24,6	-37,7	0,0	0,0	0,0	0,950	0,000	5024,991	0,0	-37,5		11:06:52:190		
---------------------------------
End of File
