[Connect DataFile][2.1]
Date:	22/04/2026
Time:	17:58:35
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:45:00,000	-46,9	20,3	20,3	-46,9	0,0	0,0	0,0	0,950	0,000	5015,602	0,0	-46,9		18:43:35:680		
000:46:00,000	-48,3	20,5	20,4	-48,3	0,0	0,0	0,0	0,950	0,000	5015,376	0,0	-48,1		18:44:35:680		
000:47:00,000	-48,4	20,6	20,6	-48,4	0,0	0,0	0,0	0,950	0,000	5016,157	0,0	-48,1		18:45:35:680		
000:48:00,000	-48,3	20,2	20,6	-48,3	0,0	0,0	0,0	0,950	0,000	5015,444	0,0	-48,1		18:46:35:680		
000:49:00,000	-49,0	19,7	20,4	-48,9	0,0	0,0	0,0	0,950	0,000	5014,872	0,0	-48,6		18:47:35:680		
000:50:00,000	-48,3	19,5	20,1	-48,3	0,0	0,0	0,0	0,950	0,000	5014,519	0,0	-48,2		18:48:35:680		
000:51:00,000	-47,1	19,8	20,1	-47,1	0,0	0,0	0,0	0,950	0,000	5015,440	0,0	-46,8		18:49:35:680		
000:52:00,000	-45,6	19,9	20,1	-45,6	0,0	0,0	0,0	0,950	0,000	5014,463	0,0	-45,2		18:50:35:680		
000:53:00,000	-46,1	19,8	20,1	-46,1	0,0	0,0	0,0	0,950	0,000	5015,213	0,0	-46,0		18:51:35:680		
000:54:00,000	-47,0	19,3	20,0	-47,0	0,0	0,0	0,0	0,950	0,000	5013,657	0,0	-47,0		18:52:35:680		
000:55:00,000	-46,0	19,3	19,9	-45,9	0,0	0,0	0,0	0,950	0,000	5017,193	0,0	-45,5		18:53:35:680		
000:56:00,000	-44,4	19,3	19,9	-44,4	0,0	0,0	0,0	0,950	0,000	5022,074	0,0	-44,2		18:54:35:680		
000:57:00,000	-41,0	19,3	19,9	-41,0	0,0	0,0	0,0	0,950	0,000	5026,707	0,0	-40,7		18:55:35:680		
000:58:00,000	-41,1	19,0	19,7	-41,1	0,0	0,0	0,0	0,950	0,000	5018,167	0,0	-41,0		18:56:35:680		
000:59:00,000	-41,7	18,6	19,4	-41,7	0,0	0,0	0,0	0,950	0,000	5014,000	0,0	-41,5		18:57:35:680		
001:00:00,000	-45,4	18,7	19,3	-45,4	0,0	0,0	0,0	0,950	0,000	5014,157	0,0	-45,2		18:58:35:680		
001:01:00,000	-46,2	18,4	19,2	-46,2	0,0	0,0	0,0	0,950	0,000	5013,657	0,0	-45,9		18:59:35:680		
001:02:00,000	-45,6	18,4	19,1	-45,6	0,0	0,0	0,0	0,950	0,000	5013,898	0,0	-45,6		19:00:35:680		
001:03:00,000	-43,1	18,3	19,0	-43,1	0,0	0,0	0,0	0,950	0,000	5013,241	0,0	-42,8		19:01:35:680		
001:04:00,000	-44,4	18,1	18,8	-44,3	0,0	0,0	0,0	0,950	0,000	5013,213	0,0	-44,0		19:02:35:680		
001:05:00,000	-46,1	18,0	18,7	-46,1	0,0	0,0	0,0	0,950	0,000	5012,556	0,0	-45,9		19:03:35:680		
001:06:00,000	-45,3	17,9	18,7	-45,3	0,0	0,0	0,0	0,950	0,000	5013,973	0,0	-45,1		19:04:35:680		
001:07:00,000	-45,9	17,9	18,6	-45,9	0,0	0,0	0,0	0,950	0,000	5014,287	0,0	-45,7		19:05:35:680		
001:08:00,000	-45,5	18,1	18,6	-45,4	0,0	0,0	0,0	0,950	0,000	5012,704	0,0	-45,2		19:06:35:680		
001:09:00,000	-45,2	18,4	18,6	-45,2	0,0	0,0	0,0	0,950	0,000	5013,315	0,0	-45,0		19:07:35:680		
001:10:00,000	-43,8	18,5	18,6	-43,8	0,0	0,0	0,0	0,950	0,000	5013,204	0,0	-43,7		19:08:35:680		
001:11:00,000	-39,4	18,1	18,6	-39,4	0,0	0,0	0,0	0,950	0,000	5013,371	0,0	-39,1		19:09:35:680		
001:12:00,000	-41,3	17,9	18,6	-41,3	0,0	0,0	0,0	0,950	0,000	5012,064	0,0	-41,2		19:10:35:680		
001:13:00,000	-39,6	18,1	18,6	-39,6	0,0	0,0	0,0	0,950	0,000	5012,954	0,0	-39,5		19:11:35:680		
001:14:00,000	-36,9	18,0	18,6	-36,9	0,0	0,0	0,0	0,950	0,000	5012,481	0,0	-36,7		19:12:35:680		
001:15:00,000	-35,8	17,5	18,3	-35,8	0,0	0,0	0,0	0,950	0,000	5012,514	0,0	-35,6		19:13:35:680		
001:16:00,000	-35,7	17,2	18,0	-35,7	0,0	0,0	0,0	0,950	0,000	5011,315	0,0	-35,5		19:14:35:680		
001:17:00,000	-38,2	17,2	18,0	-38,2	0,0	0,0	0,0	0,950	0,000	5011,843	0,0	-37,9		19:15:35:680		
001:18:00,000	-40,3	17,2	18,0	-40,3	0,0	0,0	0,0	0,950	0,000	5011,454	0,0	-40,3		19:16:35:680		
001:19:00,000	-41,7	17,3	18,0	-41,7	0,0	0,0	0,0	0,950	0,000	5010,973	0,0	-41,6		19:17:35:680		
001:20:00,000	-44,6	17,4	18,0	-44,6	0,0	0,0	0,0	0,950	0,000	5011,463	0,0	-44,3		19:18:35:680		
001:21:00,000	-40,0	17,4	18,0	-40,0	0,0	0,0	0,0	0,950	0,000	5012,333	0,0	-39,8		19:19:35:680		
001:22:00,000	-37,2	17,4	18,0	-37,2	0,0	0,0	0,0	0,950	0,000	5011,056	0,0	-37,1		19:20:35:680		
001:23:00,000	-41,4	17,3	18,0	-41,4	0,0	0,0	0,0	0,950	0,000	5010,759	0,0	-41,4		19:21:35:680		
001:24:00,000	-38,8	17,1	17,9	-38,8	0,0	0,0	0,0	0,950	0,000	5010,824	0,0	-38,5		19:22:35:680		
001:25:00,000	-40,1	16,9	17,7	-40,1	0,0	0,0	0,0	0,950	0,000	5010,787	0,0	-39,8		19:23:35:680		
001:26:00,000	-37,8	16,9	17,6	-37,8	0,0	0,0	0,0	0,950	0,000	5010,587	0,0	-37,6		19:24:35:680		
001:27:00,000	-37,1	16,9	17,6	-37,1	0,0	0,0	0,0	0,950	0,000	5010,602	0,0	-37,1		19:25:35:680		
001:28:00,000	-38,5	16,9	17,6	-38,5	0,0	0,0	0,0	0,950	0,000	5010,435	0,0	-38,5		19:26:35:680		
001:29:00,000	-40,5	16,8	17,6	-40,5	0,0	0,0	0,0	0,950	0,000	5010,306	0,0	-40,5		19:27:35:680		
001:30:00,000	-42,0	16,9	17,6	-41,9	0,0	0,0	0,0	0,950	0,000	5011,398	0,0	-41,8		19:28:35:680		
001:31:00,000	-41,8	16,9	17,6	-41,7	0,0	0,0	0,0	0,950	0,000	5011,119	0,0	-41,4		19:29:35:680		
001:32:00,000	-42,6	16,9	17,6	-42,6	0,0	0,0	0,0	0,950	0,000	5012,129	0,0	-42,5		19:30:35:680		
